company_name,news_date,news_header,news_story
Relience_Industries,24-07-2020,"RIL, RIL partly paid shares hit all-time high; combined m-cap tops Rs 14L crore","Shares of Reliance Industries (RIL) closed 4.15 percent higher at Rs 2,146.20 while those of Reliance Industries PP (partly paid) closed 8.77 percent higher at Rs 1,284.50 on BSE on July 24.

Both RIL and RIL PP hit their all-time highs of Rs 2,162.80 and 1,299, respectively, in intraday trade.

The m-cap of RIL stood at Rs 13,60,562.99 crore and that of RIL PP at Rs 54,262.45 crore on BSE on July 24.

With this, the combined market-capitalisation (m-cap) of RIL and RIL PP stock stood at 14.15 lakh crore on BSE.

Brokerages and analysts are bullish on Reliance Industries following its debt-free status, a healthy balance sheet and a strong growth outlook.

Brokerage firm BNP Paribas has maintained a 'buy' rating on the stock with a target price of Rs 2,317.

""We reiterate 'buy' on RIL with a revised SoTP-based target price of Rs 2,317. We update for the Jio proceeds, which drive a large part of the increase in valuation along with a higher multiple for Jio and the retail

business in light of the potential growth outlook,"" said the brokerage.

""We now value RIL on an FY23E basis to better capture the growth outlook for all the businesses. Despite its recent run, RIL still has multiple catalysts in place in terms of a stake sale in retail and a potential sale in oil-to-chemical (O2C) even at a lower valuation (as it tries lower its dependence on O2C).""

The brokerage believes that Jio has played its role in reinventing RIL and now the focus will be on the consumer retail business.

""We do not think RIL is in a rush to start off-loading in retail also, but if it does, it will be a positive (according to media reports, RIL is looking to sell its stake in consumer retail). That said, retail by itself over the years will be a growth engine for RIL and something that will enable Jio also for cross-selling, in our view,"" BNP Paribas said.

While FY21 growth would be impacted by COVID-19, BNP Paribas expects RIL to regain the lost ground in FY22.

The brokerage said RIL weathered the weakness in global refining and chemicals due to its diversified businesses.

Japanese brokerage firm Nomura also has a 'buy' recommendation on the oil-to-retail conglomerate, with a target price to Rs 2,200.

""RIL is our preferred pick in India oil & gas. RIL is now outperforming the benchmark Nifty for the sixth year,"" Nomura said.

""While the run has been very strong, and valuations are getting rich, we believe the outperformance may sustain. Despite a subdued FY21F (weak energy business, COVID-19 impact), we expect a 29 percent CAGR in consolidated earnings over FY20-23F. Also, investor appetite is strong for consumer business. While institutional holding in RIL has been rising, we believe there is under-ownership, given the sharp rise in RIL’s weight in Nifty,"" Nomura said.

It said as RIL's very large CAPEX cycle drew to a close, earning increased for the energy business initially followed by sharp rises for Jio and retail.

Nomura said RIL's outperformance has also been driven by a sharp growth in new consumer businesses of Jio and Retail.

""With nearly 49 percent year-on-year (YoY) growth in FY20, consumer businesses’ contribution to RIL’s aggregate EBITDA grew from 3 percent in FY17 to 35 percent in FY20. Further, we expect the share of consumer businesses in RIL’s consolidated EBITDA to increase to 52 percent by FY22F,"" said Nomura.

RIL will announce its June quarter earnings on July 30. Brokerages expect the company to report an improvement in the margin for Q1 due to flexible feedstock utilisation and better O2C integration.

""RIL is expected to report GRM at $9.0/bbl, helped by inventory gain as well as discounts offered to Indian refiners at the beginning of the quarter,"" said Motilal Oswal Financial Services.

Outlook on full economic utilisation of petcoke gasifier will be in focus when the company announces its June quarter scorecard, Motilal Oswal said.

Disclosure: Reliance Industries Ltd. is the sole beneficiary of Independent Media Trust which controls Network18 Media & Investments Ltd.

The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions."
Relience_Industries,23-07-2020,"RIL market-cap crosses Rs 13 lakh crore, stock jumps 135% in 4 months","Oil-telecom-to-retail conglomerate Reliance Industries on July 23 hit another milestone in terms of its market value on the back of consistent buying.

The stock price touched a fresh intraday record high of Rs 2,078.90 on July 23, rising 139.6 percent from its March 23's low point.

It ended at fresh record high of Rs 2,060.65, up 2.82 percent, with volumes of 13.79 lakh shares on the BSE and market-capitalisation of Rs 13,06,329.39 crore. The stock has gained 135 percent in last four months.

On the National Stock Exchange, it climbed 2.68 percent to close at Rs 2,057.80, with volumes of 2.69 crore equity shares.

The billionaire Mukesh Ambani-owned company is bigger than HDFC Group, and top four private banks in terms of market value.

The total market-capitalisation of listed HDFC Group companies stood at Rs 11,24,715.95 crore while top four private banks' - HDFC Bank, ICICI Bank, Kotak Mahindra Bank and Axis Bank - market value is at Rs 12,76,102.99 crore today.

A similar trend was seen in Reliance Industries Partly Paid up shares, which settled at Rs 1,180.95 on the BSE, up 6.82 percent over previous closing, and 136 percent higher than their intrinsic value.

Intrinsic value is the one-fourth price of Reliance Industries (Rs 2,004.10 / 4 = Rs 501) as investors paid only first instalment of Rs 314.25 which 25 percent of Rights issue price of Rs 1,257 per share. The second instalment of Rs 314.25 will be paid in May 2021 and last instalment of Rs 628.50 in November 2021.

The stock has been on the rise since the company announced investments from various marquee tech giants and private equity investors into Jio Platforms. It has raised more than Rs 1.5 lakh crore through stake sale in Jio since April 22.

This helped the company achieve its net debt free target much before its own timeline of March 2021, which was the key trigger.

Investment of Rs 33,737 crore by Google for 7.7 percent stake in Jio Platforms was announced recently at the AGM, while Rs 43,574 crore investment by Facebook for 9.9 percent stake in Jio was made public on April 22.

""Reliance Industries is India's largest company with a dominant presence in Refining, Petrochemicals, Telecom and Retail businesses. Telecom business to witness robust growth over next few years due to tariff hikes and shift of subscribers from Vodafone Idea to other telecom players,"" Angel Broking said.

Disclaimer: The views and investment tips expressed by investment expert on Moneycontrol.com are his own and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.

""Reliance Industries Ltd. is the sole beneficiary of Independent Media Trust which controls Network18 Media & Investments Ltd which publishes Moneycontrol."""
Relience_Industries,22-07-2020,Rights issue becomes the new favourite; what's the rush for?,"A trend seems to have emerged among listed companies of raising funds via rights issue. Many companies, including the likes of Mahindra & Mahindra Financial Services, PVR, Shriram Transport Finance, Aditya Birla Fashion, Reliance Industries (RIL), have offered their shareholders a chance to solidify their holding at a time when investor confidence is riding high despite the rising number of COVID-19 cases in the country.

Ample liquidity due to stimulus packages from central banks and relatively cheap valuations in the aftermath of COVID-19-led crash could have been the fillip companies needed to opt for rights issue as the preferred means of raising funds as opposed to qualified institutional placements (QIP), experts suggested.

""It is understood that when valuations are stretched, companies usually raise capital via QIP route. And when shares are reasonably priced or are undervalued, promoters generally raise additional capital for growth through a rights issue, giving a chance to existing shareholders to buy the stock at a discounted price,"" said Nirali Shah, Senior Research Analyst, Samco Securities.

According to Shah, investors should not always view raising funds as a quick fix to a bleeding balance sheet but should rather concentrate on why the company is raising funds. In many cases, companies use the funds for capital expenditure which is a telling sign that the management is optimistic about the growth prospects of the company.

""...raising of funds also shows the management’s confidence in the growth of their company. It is not always the case that additional capital is raised only because the company’s balance sheet is bleeding. Capital can also be raised to accentuate growth and expansion,"" she said.

A rights issue is a mechanism for listed firms to raise additional capital by inviting existing shareholders to buy new shares proportionate to their existing holding at a discount to the prevailing market price.

Also Read: Rights issue bandwagon: M&M Financial, PVR, Shriram Transport & ABFRL gain

Purpose of recent rights issue by companies

Mahindra & Mahindra Financial Services is the latest firm to float a rights issue on D-Street. The company plans to raise Rs 3,089 crore and will issue 61,77,64,960, fully paid-up equity shares of the face value of Rs 2 each at Rs 50 per share for the same, which is a near 70 percent discount to its last traded price. The issue will open for subscription July 28, and the closing date is August 11.

According to the management of the company, the rights issue is their way of thanking shareholders in the company's silver jubilee year. And thankful they were, as the scrip climbed over 10 percent on July 20, the announcement date. Although, the sharp rise can also be attributed to the stellar returns the company posted for the quarter ended June 2020.

The pricing of the issues was also hailed by analysts Moneycontrol spoke to. They believe that the company has multiple moats including a strong rural presence. Efficient cost control along with low borrowing cost also puts the company is a favourable position

“The announcement of the rights issue at a steep discount of Rs 50 against July 17's closing of Rs 207 per share is likely to be taken positively by the market. More than the rights issue, the steady growth in business along with signs of improvement in the niche segment of the company is likely to aid stock rally on a short-term basis,” Dinesh Rohira, Founder-CEO, 5nance.com told Moneycontrol.

Earlier this month, India’s largest operator of multi-screen theatres, PVR also announced a Rs 300 crore rights which opened for subscription on July 17 and will close on July 31. The price of the issue was fixed at Rs 784 per equity share.

According to media reports, the Ajay Bijli-owned firm intends to utilise the net proceeds from the issue towards repayment or prepayment of the principal and or interest of certain borrowings availed by the company. PVR may also use the proceeds for general corporate purposes.

PVR, which has 176 properties and a total of 845 screens across India, had completed a Qualified Institutional Placement (QIP) in October 2019. The fundraising round led to an inflow of Rs 500 crore.

Part of the QIP proceeds was utilised towards prepayment of existing debt obligation.

Shriram Transport Finance launched its Rs 1,500 crore rights issue on 16 July at a price of Rs 570 per share. The rights issue will close on 30 July.

Even though the lender did not reveal the purpose of raising funds, it said that its promoter entities will be subscribing to the entire portion of rights shares they are eligible for.

“Our promoter and Shriram Financial Ventures (Chennai) Pvt. Ltd, a member of our Promoter Group have undertaken to fully subscribe to their Rights Entitlement and shall not renounce their rights, except to the extent of any renunciation inter-se between our Promoter and other members of the Promoter Group,"" the company had said in an exchange filing.

BNP Paribas Arbitrage acquired 1.47 lakh Shriram Transport Finance Rights Entitlement (RE) shares at Rs 107.73 per share on July 21 via open market transactions, bulk deals data available on the NSE showed. Aditya Birla Fashion and Retail Ltd also came out with a Rs 995 crore rights issue this month. The issue opened for subscription on July 8 and will close on July 22. The main objectives of the fundraising are to cut leverage, strengthen the balance sheet and for general corporate purposes, including working capital, the apparel company, which owns brands including Louis Philippe, Van Heusen, Peter England, and Pantaloons, said. Experts Moneycontrol spoke to advised subscribing to the issue given ABFRL's strong management as well as its growth prospects once the pandemic is contained and the economy fully re-opens. ""The rights issue is structured similarly to that of Reliance Industries where shareholders will have to make payments in three tranches. As the lockdown is gradually lifted, retail stocks seem to be in a rebound mode. The factors like manageable leverage, consistent execution capability, healthy cost-cutting initiatives and strong parentage might help ABFRL emerge much stronger from the current crisis,"" said Gaurav Garg, Head of Research at CapitalVia Global Research Limited- Investment Advisor."
Relience_Industries,22-07-2020,RIL to announce Q1 results on July 30 instead of July 24,"Reliance Industries (RIL) on July 21 said it will announce its June quarter earnings on July 30, 2020, instead of July 24 as intimated earlier.

In a BSE release, the company said: ""The meeting of the Board of Directors of the company to consider and approve the standalone and consolidated unaudited financial results of the company for the quarter ended June 30, 2020, will be held on Thursday, July 30, 2020, instead of on Friday, July 24, 2020, as intimated earlier.""

Brokerages expects the company to report an improvement in the margin for Q1 due to flexible feedstock utilisation and better O2C integration.

""RIL is expected to report GRM at $9.0/bbl, helped by inventory gain as well as discounts offered to Indian refiners at the beginning of the quarter,"" said Motilal Oswal Financial Services.

Outlook on full economic utilisation of petcoke gasifier will be in focus when the company will announce its June quarter scorecard, said Motilal Oswal.

Shares of the company climbed over a percent higher to hit their fresh 52-week high of Rs 2,000 on BSE on July 22.

The market-capitalisation (m-cap) of the company has now breached Rs 12.6 lakh crore mark on BSE.

Disclaimer: Reliance Industries Ltd. is the sole beneficiary of Independent Media Trust which controls Network18 Media & Investments Ltd.

The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions."
Relience_Industries,22-07-2020,"RIL hits fresh record high of Rs 2,010, m-cap tops Rs 12.7 lakh crore","Reliance Industries (RIL) share price gained more than a percent hitting new record high of Rs 2,010 per share on the BSE.

The stock price has surged over 62 percent in the last 3 months, and on July 22, it was trading at Rs 2,003.60, up Rs 31.75, or 1.61 percent at 12:45 hours IST. The market capitalisation stood at Rs 12.70 lakh crore.

It was also one of the most active stocks on NSE in terms of value with 1.79 crore shares being traded.

Reliance Industries partly paid up rights shares traded at Rs 1,106.85 on the BSE at 12:45 hours IST, which was more than double its intrinsic value (Rs 500), and up 1.97 percent compared to previous closing, with a market capitalisation of Rs 46,719.78 crore.

The intrinsic value is the difference between current partly paid up rights share price and one-fourth stock price of Reliance Industries. Investors have so far paid only 25 percent (Rs 314.25) of rights issue price of Rs 1,257, hence Reliance price of around Rs 2,000 should be divided by 4.

Brokerages and analysts are bullish on Reliance Industries following the announcements made in its AGM, debt-free status, a healthy balance sheet and a strong growth outlook.

Also read: RIL to announce Q1 results on July 30 instead of July 24

Japanese brokerage firm Nomura has a 'buy' recommendation on the oil-to-retail conglomerate, raising the target price to Rs 2,200 from Rs 1,900.

""RIL is our preferred pick in India oil & gas. RIL is now outperforming the benchmark Nifty for the sixth year. From the lows in March, RIL is up 110 percent against Nifty's 41 percent rise. From end-2014, when this cycle began, RIL is up 4.1 times against the Nifty’s rise of 30 percent,"" Nomura said.

It has cut FY21/22F earnings estimates by 16 percent/9 percent due to prevailing weak refining/chemical margins, and also a lower remaining stake in Jio (67 percent against 90 percent earlier).

""With nearly 49 percent year-on-year (YoY) growth in FY20, consumer businesses’ contribution to RIL’s aggregate EBITDA grew from 3 percent in FY17 to 35 percent in FY20. Further, we expect the share of consumer businesses in RIL’s consolidated EBITDA to increase to 52 percent by FY22F,"" said Nomura.

Kotak Institutional Equities has a buy rating and has raised target to Rs 2,150 from Rs 1,750. It is of the view that the company’s foray in digital commerce business is going to be next big driver. Company being at forefront of consumer-facing digital ecosystem opportunity in India. Its retail business can double revenue to over USD 26 billion from core segments in 4 years, according to a report by CNBC-TV18.

Disclosure: Reliance Industries Ltd. is the sole beneficiary of Independent Media Trust which controls Network18 Media & Investments Ltd.

: The above report is compiled from information available on public platforms. Moneycontrol advises users to check with certified experts before taking any investment decisions."
Relience_Industries,20-07-2020,"Reliance Jio seeks spectrum for 5G trials, plans to sell tech overseas","Reliance Jio has sought spectrum in certain frequencies from the Department of Telecom for holding trials of the latest 5G technology, according to sources.

The company's wholly-owned US-based subsidiary Radisys has already started selling some of the 5G solutions to foreign companies.

According to sources, Reliance Jio on July 17 requested for 800 megahertz of frequencies in the 26 gigahertz (Ghz) and 24 Ghz band as well as 100 Mhz in 3.5 GHz band for running field trials in ""urban centres like Delhi and Mumbai"".

""Jio has said that high frequencies has been put to use in advance countries like the US, South Korea, Japan, Canada, the UK. They also want trials in these bands should start in India to make India ""Aatmanirbhar"". Government is open to the suggestion and trials. Already many trials are going on,"" an official source said.

The company has sought spectrum frequencies between 26.5 - 29.5 Ghz and 24.25-27.5 Ghz band. The auction for these high frequency bands is expected to be held next year.

UN body International Telecommunication Union approved 5G standards for 26 gigahertz band in November last year while the standards for other bands are yet to be decided.

In its pitch for starting trials in higher spectrum band, Jio in the letter has said that the US, South Korea, Japan etc have started working in 28 Ghz band and some other countries in 26 Ghz band and therefore it wants to run trials of its 5G technology before selling it abroad.

In the 43rd annual general meeting, Reliance Industries Limited Chairman Mukesh Ambani had said that Jio has designed and developed a complete 5G solution from scratch.

""This will enable us to launch a world-class 5G service in India… using 100 percent home grown technologies and solutions. This Made-in-India 5G solution will be ready for trials as soon as 5G spectrum is available and can be ready for field deployment next year,"" Ambani had said."
Relience_Industries,20-07-2020,'Nifty likely to face resistance near 100-Week EMA; IT index could rally another 5-7%',"We feel one may still see upsides to the tune of around 5-7 percent from hereon. Hence, we would suggest a buy on dips strategy rather than going gung ho, on the trot, Pushkaraj Sham Kanitkar, VP (Equities) at GEPL Capital, said in an interview with Moneycontrol’s Kshitij Anand.

edited excerpts:

A) The major part of the volatility can be attributed to the divergence that we have seen in the Nifty vis-à-vis the Bank Nifty. Within the Bank Nifty, we have seen a lot of heavyweights correct whereas the Nifty strength may be attributed to stellar moves in likes of RIL and the IT pack. This in a way has created a lot of fatigue where both the bulls as well as bears have had a real tug of war.

A) The major levels on the upside are 11,029 (100-Week EMA) followed by 11,389 (78.6 percent Fibonacci retracement of the earlier fall).

The weekly low of 10,562 (read 10,550 as it houses the 61.8 percent retracement level @ 10,544.8) would be the major support in contention.

A) The major flow for the IT Index has been the NASDAQ in the US hitting all-time highs, and which the Nifty IT too replicated in stride. The robust results further boosted the inflows in terms of the defensive sector.

We feel one may still see upsides to the tune of around 5-7 percent from hereon. Hence, we would suggest a buy on dips strategy rather than going gung ho, on the trot.

Q) Twitter Bitcoin hack is something which came out of the blue. A similar scam happens when retail investors, especially the new-age ones, get charmed by the SMS or email promising to give superior returns. Are there any red flags which you want to highlight for traders?

A) The major shift in the retail participation in the current upmove has been in heavyweights rather than penny stocks, which in a way offers a major safety net.

Also, the major chunk is coming through the indirect route i.e. MFs rather than investors taking bets on direct company-specific stuff.

As was the trend earlier of taking bets on so-called tips, we have seen it shift to people who do hand-holding during the process of trade. This also in a way indicates that Indian investors are maturing, slowly but surely.

However, there would always be some rotten eggs here and there, but we look at it as a part of the game.

A) Here is a list of top stocks for the next 3-4 weeks:

RIL: CMP: Rs 1,911 | Target: 1,985-2,050 | Stop loss: Rs 1,885

Aurobindo Pharma: CMP: Rs 836 | Target: Rs 950 | Stop Loss: Rs 809

Cadila Healthcare: CMP: Rs 378 | Target: Rs 420 | Stop Loss: Rs 344

Disclaimer: The views and investment tips expressed by experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions."
Relience_Industries,20-07-2020,"With strong pipeline of deals, Bank of America expects 'busy' H2 this year","Global investment banking major Bank of America (BofA), which stood second in the India deal street ranking in the first half, is bullish on the remaining six months with a strong pipeline of deals, despite the COVID-19 pandemic hitting business sentiment.

The Charlotte, North Carolina-headquartered bank expects the deal street to be driven by both consolidation in the sectors impacted by the pandemic and financial institutions raising growth capital.

Raj Balakrishnan, the head of India investment banking at BofA says, the pandemic is unlike any other previous crises, which were business crises.

""A company that was being run perfectly well till February may not be viable now for no fault of the management, as its business may be hit due to the lockdowns. Further, the same company may be perfectly fine once lockdown is over and normalcy returns as long as it has sufficient liquidity to sail through the crisis,"" Balakrishnan told PTI, expressing confidence in the broader business recovery.

That is why, he said, raising capital is now the key to help emerge as a winner.

Thanks to Reliance Industries selling over a quarter of its stake in its subsidiary Jio Platforms, the deal street was vibrant clocking nearly $44 billion in H1 of 2020, up 14.5 percent YoY.

Between late April and June, Reliance sold nearly 25 percent in Jio Platforms to 10 investors, including Facebook, which snapped up 9.99 percent for over Rs 43,000 crore. Then it sold 15 percent more, collectively raising Rs 1.2 lakh crore including through the largest rights issue of Rs 53,124 crore in June.

Others who lapped up minority stake in Jio for $15.27 billion include Silver Lake Partners, General Atlantic, KKR and others. The selling spree continued in July with Google picking up 7.7 percent for over Rs 33,700 crore.

According to industry tracker Mergermarket, BofA stood second in the i-banking league table with deals worth $6.7 billion in the first half, capturing 17.6 percent market share. Morgan Stanley topped the list with $13 billion across nine deals.

BofA was one of the bookrunners of the largest rights issue by Reliance worth Rs 53,124 crore in June. The bank also exclusively advised Facebook for its stake-buy in Jio.

BofA also executed block deals for Standard Life Aberdeen (in HDFC Life and HDFC AMC) and for Blackstone in Embassy Office Parks REIT.

SBI Cards IPO, the largest initial share listing in nearly a decade, and Avenue Supermart's (DMart) QIP and OFS are some of the other big deals executed by BofA this year.

And deals continue to be worked on.

""We have a strong pipeline of deals and we are confident, the second half will be equally busy,"" Balakrishnan said.

Companies hit by the pandemic would try to sell down their non-core businesses, and it would be another opportunity for investment bankers, he added.

Balakrishnan has multiple reasons for being optimistic on the deals front.

""A lot of minority stake sale is happening across India Inc and we will see some sales driven by portfolio choice as well. You will also see quite some activity in the e-commerce space where consolidation is likely,"" he added.

In June alone, BofA handled six market transactions raising over $8.5 billion for clients. The deals included Standard Life Aberdeen selling 5.6 percent in HDFC AMC for $378 million through OFS, the RIL rights issue of $7.1 bullion, and Blackstone selling stake in Embassy Office Parks REIT for $500 million among others.

""We were the busiest i-banker on the street amid a challenging and volatile market backdrop. From the landmark $7.1 billion RIL rights issuance, which is the largest ever capital market transaction in the country to $18 million Andhra Paper OFS — we were there adding the most relevant investor colour and helping our clients access liquidity,"" he said.

According to Mergermarket, Morgan Stanley and BofA have picked nearly half of the $43.5-billion deals in H1, through just 11 of the 72 deals.

But in terms of volume, the period saw 24.7 percent fewer deals at 183 as against 243 YoY.

Morgan Stanley led the league table completing nine deals worth $13.53 billion."
Relience_Industries,16-07-2020,3 Point Analysis | What will be the impact of RIL’s ambitious tech plans,"Reliance Industries (RIL) announced new offerings at its 43rd annual general meeting (AGM), which included Jio Glass, a new Android-based OS and JioTV+.

Not only has the company designed and developed a complete 5G solution from scratch, it is also developing an Android-based operating system in partnership with Google.

RIL also launched Jio Glass which is a mixed reality enabled wearable that enables users to connect with the world virtually.

What will be the impact of these tech plans? What does it mean for the company? Let's find out in this edition of 3 Point Analysis with Sakshi Batra.

Disclaimer: Reliance Industries is the sole beneficiary of Independent Media Trust which controls Network18 Media & Investments which publishes Moneycontrol."
Relience_Industries,16-07-2020,"Reliance seen emerging as bigger threat for US firms like Amazon, Walmart","A $20 billion fund raising spree may take India's Reliance Industries closer to its dream of becoming a digital giant, further threatening the ambitious plans US companies like Amazon, Walmart and Zoom have for India.

Stake sales in Reliance's digital unit Jio Platforms attracted not just private equity and sovereign wealth funds but also Google and Facebook, a strong endorsement for an enterprise that until a few years ago focussed largely on oil refining.

Some industry watchers equate Reliance's digital plans - which extend from online shopping and cloud computing to telecom and digital payments - to China's Alibaba and Tencent, companies Reliance itself calls ""global peers"".

Reliance has a track record of disrupting rival businesses. With cheap smartphones and data plans, its telecom venture Jio has in four years dethroned market leaders Vodafone Idea and Bharti Airtel to become the largest telecom operator in India.

On Wednesday, billionaire chairman Mukesh Ambani said Reliance will expand e-commerce platform JioMart - which connects small retailers with consumers - to offer not just groceries but also electronics and fashion goods.

""Jio Platforms not only has the backend infrastructure and development capabilities but also an ever expanding captive consumer base,"" said Mayank Vishnoi of Singapore-based financial advisory firm Resfeber International.

""The addition of new digital products targeting various sectors will pose threats to many large dominant players. Having strategic partners like Facebook and Google validates that Reliance gameplan is real.""

The recent stake sales gave Reliance a foreign partner for JioMart, which was launched this year. Facebook's WhatsApp, which counts India as its top market with 400 million plus users, will work closely in connecting small retailers to JioMart.

""We will cover many more cities, serve many more customers across India, and expand to many more categories,"" said Ambani.

Asked about the potential impact on foreign businesses eyeing India, one local industry executive who advises US multinationals said: ""Amazon and Walmart should be scared.""

To be sure, Reliance will face stiff competition from Amazon and Walmart's Flipkart, as both companies have deep pockets and an already well-established warehousing and logistics supply chain in the country.

JioMart currently delivers groceries in only 200 cities, while Amazon and Flipkart deliver a wide range of goods across the country.

Walmart, Flipkart and Amazon did not immediately respond to a request for comment.

""REAL THREAT""

Reliance also has a retail footprint of around 11,000 stores across 6,700 cities that offer a wide array of products. It has also partnered with over 45 top international brands including Tiffany & Co, Burberry and Jimmy Choo.

Senior leadership at Flipkart has started keeping close tabs on Reliance, and there is a fear the Indian company will have an added advantage from the regulatory perspective, two sources close to the company told Reuters.

The Ambani family is viewed as being well-connected politically. Amazon and Walmart have had regulatory troubles and face far tighter government oversight in India, where the prime minister has been promoting self reliance.

Reliance's digital plans extend beyond e-commerce.

On Wednesday, the company said it will develop education and healthcare solutions via its JioMeet video conferencing tool that saw 5 million users within days of its launch this month. JioMeet has a starkly similar design to its rival, US based Zoom Video Communications.

Zoom said this month it had plans for a significant investment in India. Asked about Reliance, Zoom said it had experienced intense competition in the past but we ""know what it takes"" to become a platform of choice.

""This threat is real,"" one US tech executive in India said about Reliance. ""As of now, it's not changing the game, but that view can change in a year from now."""
