company_name,news_date,news_header,news_story
yes bank,20-07-2020,Yes Bank skids 40% since FPO price announcement; can it fall further?,"Shares of the private sector lender, Yes Bank, barring few sessions, have consistently been falling since the pricing announcement of the further public issue worth Rs 15,000 crore.

Since June 10, when the bank priced its FPO at a steep discount from the market price at that time, the stock has lost 40 percent of its value

On July 20, it was down 7 percent intraday and at 11:45 hours IST, it declined 2.02 percent to Rs 19.40 on the BSE.

The bank in consultation with merchant bankers had fixed FPO price at Rs 12-13 per share, which was 60-56.5 percent discount to the share price of June 9.

Majority of bids came in at lower end of price band i.e. Rs 12. In fact, anchor investors on July 14 invested Rs 4,098 crore in the public issue at same price, then during the public issue all bids, too, came in at same price.

We asked experts that can the stock price get adjusted to final issue price, which could be Rs 12, before listing? Majority of experts feel the stock price can go near its issue price.

The listing of fresh issue of Yes Bank is likely in the first half of next week.

""While we agree that the FPO was priced cheap considering the uncertainties like stressed asset quality and overall depressed financial performance would be expected in the foreseeable future in banking operations going forward. But we do also expect that there are high possibilities that the stock price will get adjusted to near FPO issue price of Rs 12 before listing or even dive down,"" Prashanth Tapse, AVP Research at Mehta Equities told Moneycontrol.

Arun Kejriwal, a primary capital market expert and owner of AK47, also feels the stock price may adjust near its issue price before the listing.

But Sumit Bilgaiyan, Founder of Equity99 seems to be disagree saying there may be a minor price correction but it may not get adjusted to Rs 12 as the primary reports suggest around 27 DIIs have subscribed for the FPO which indicates these investors have strong expectations of a turnaround and hence owing to these DIIs the liquidity shall remain healthy and steep correction remains unlikely.

""The way forward for the bank continues to see as that of dark clouds before the sunshine,"" he added.

The Rs 15,000 crore follow-on public offer was a fresh issue of equity shares and was opened for subscription during July 15-17, i.e. last week.

The issue was subscribed 95 percent including anchor book, but could not get strong subscription despite having a support from big institutions like SBI which has the maximum shareholding in the bank after Reconstruction Scheme in March this year.

""Finally Yes Bank FPO managed to sail through by end of Day 3, credit goes to SBI team, somehow if we see the subscription data, institutions seem to be having more faith in Yes Bank than individual investors. As per industry sources Yes Bank was expecting 3 times demand i.e. Rs 40,000 crore but failed to get attracted,"" Tapse said.

Way forward he believes the challenges will remain the same as overall, the bank will take longer time to revive and build a decent RoE numbers. ""Retail deposit is key for any bank for lower cost of funds but Yes Bank has witnessed sizable withdrawal of deposits over the past few quarters which raises concern. Hence based on current challenges and other fundamental parameters we advise investors to avoid,"" Tapse said.

: The views and investment tips expressed by investment expert on Moneycontrol.com are his own and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions."
yes bank,17-07-2020,"Yes Bank FPO subscribed 95% so far, QIB remains strong on final day","The follow-on public offer of Yes Bank has been subscribed 92.75 percent so far on final day of bidding, July 17.

The issue has received bids for over 847.86 crore equity shares against FPO size of more than 909.97 crore equity shares (excluding anchor book), the data available on the exchanges showed. If we include the anchor book portion, then the subscription stood at 95.14 percent.

The maximum bids were received at lower end of price band of Rs 12-13 per share. In fact, the anchor book, through which the lender had received Rs 4,098 crore, was also subscribed at Rs 12 per share.

The reserved portion of non-institutional investors has seen subscription of 63 percent and that of retail 46.96 percent and employees 32.62 percent, while the portion set aside for qualified institutional buyers was subscribed 1.90 times.

A total of 27 institutions bid for the QIB portion such as SBI, LIC, IIFL, Edelweiss, Bajaj Allianz, HDFC Life, Punjab National Bank, HDFC MF, Union Bank, Bajaj Holdings, Avendus Wealth Management, IFFCO Tokio General Insurance, Norges fund, Schonfled, Millennium Management Global, Aurigin Capital, Exodus Capital, Wellington Capital, Jane Street Capital, Segantii Capital Management and De Shaw & Co, as per a company release.

With the current status (including anchor investors' commitment of Rs 4,098 crore), the private sector lender so far has raised more than Rs 15,000 crore as compared to total issue size of Rs 15,000 crore.

""We are pleased with the completion of our further public offering and would like to thank all the investors, partners and employees who have supported the issue. It is an important step in our journey of transformation and is a testament to the trust placed in the institution,"" Prashant Kumar, MD & CEO, Yes Bank said.

Also as per the prospectus, the bank had entered into the first underwriting agreement dated July 7 with SBI Capital Markets and the Registrar, and pursuant to which, SBI Capital Markets had agreed to underwrite Rs 3,000 crore worth of shares of FPO, at a price equal to the lowest end of the price band.

So overall the bank has received committed subscription of worth more than Rs 15,000 crore now.

""The issue already received required subscription of 90 percent out of total IPO size Rs 15,000 crore. It already received Rs 4,098 crore from anchor investors, more than Rs 8,700 crore worth of bids received so far (which gets changed till the issue closing today) and SBI Capital Markets already gave underwriting commitment of Rs 3,000 crore, which ultimately said the issue already subscribed over 90 percent,"" Arun Kejriwal, the primary capital market expert and owner of AK47.in told Moneycontrol.

The public issue has to receive minimum subscription of 90 percent of the offer, including through devolvement of underwriters, if applicable, within 60 days from the date of bid/offer closing date, as per the terms of the offer.

""We believe that the inflow of Rs 15,000 crore from the upcoming FPO will go a long way in strengthening the bank's balance sheet by enhancing its CET 1 ratio, solvency ratio, capital adequacy ratios, and would provide growth capital to the bank,"" said NVS Brokerage while recommending subscribe rating on this issue with an 18-24 month horizon.

""With its checkered history behind us, it appears that with a new management, Yes Bank has finally managed to put its house in order and the trajectory appears to be upward in the times to come,"" NVA added.

Yes Bank has been supported by marquee institutions – State Bank of India, Kotak Mahindra Bank, ICICI Bank, Federal Bank, HDFC, Axis Bank, Bandhan Bank and IDFC First Bank which all had invested Rs 10,000 crore in the bank through Reconstruction Scheme in March this year.

The FPO is largely aimed to ensure adequate capital buffer to support growth plans, alongside absorbing further stress points from high NPA levels.

Kotak Mahindra Capital Company, SBI Capital Markets, Axis Capital, Citigroup Global Markets India, DSP Merrill Lynch, HSBC Securities and Capital Markets (India), ICICI Securities and Yes Securities India are the book running lead managers to the issue.

: The views and investment tips expressed by investment expert on Moneycontrol.com are his own and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions."
yes bank,16-07-2020,Yes Bank FPO subscribed 48% on Day 2; QIB portion full,"The further public offering of private sector lender Yes Bank has been subscribed 47.94 percent so far on the second day of bidding - July 16.

The public issue has received bids for more than 434.15 crore equity shares against offer size of over 909.97 crore shares (excluding anchor book portion), the data available on exchanges showed.

The portion set aside for qualified institutional buyers fully subscribed and that of non-institutional investors 10.8 percent, while the reserved portion of retail investors was subscribed 19.3 percent and employees' portion at 10.6 percent.

The private sector lender intends to raise Rs 15,000 crore through its FPO which is scheduled to close on July 17. The price band for FPO has been fixed at Rs 12-13 per share, a major discount to market price.

""The follow-on offer is available at a deep discount to the current market price, without lock-in period criteria, which makes it a unique investment opportunity,"" said KR Choksey while advising subscribe rating.

""While we see elevated stress pockets for the bank, we draw comfort from the backing of SBI as a key stakeholder (48.2 percent stake in Yes Bank as of June 2020 and lock-in period of 3 years) to absorb any shock,"" said the brokerage, adding the key investment risk remains the expected stress on its balance sheet; both from the lending portfolio and the investment book.

Apart from SBI, Yes Bank has also been supported by other marquee institutions – Kotak Mahindra Bank, ICICI Bank, Federal Bank, HDFC, Axis Bank, Bandhan Bank and IDFC First Bank which all including SBI had invested Rs 10,000 crore in the bank through Reconstruction Scheme in March this year.

Given the COVID-19 fallout, KR Choksey expects more stress emerging for the bank in the near future, but considering the remedial measures undertaken by RBI/GoI (moratorium window) the actual NPA formation is expected to be deferred by a quarter or two.

The FPO is largely aimed to ensure adequate capital buffer to support growth plans, alongside absorbing further stress points from high NPA levels.

As of March 31, 2020, its common equity tier I ratio (a measure of bank solvency) was at 6.3 percent, which was lower than the RBI's minimum CET I ratio of 7.375 percent.

Yes Bank, which is in need of liquidity and that is a reason behind this FPO launch, has already garnered Rs 4,098 crore by issuing more than 341.53 crore equity shares at Rs 12 per share, to 12 anchor investors including Bay Tree India Holdings I LLC, HDFC Life Insurance Company, Amansa Holdings, Elara India Opportunities, Jupiter India Fund, ICICI Lombard General etc.

Bids can be made for minimum 1,000 shares and in multiples of 1,000 shares thereafter.

Kotak Mahindra Capital Company, SBI Capital Markets, Axis Capital, Citigroup Global Markets India, DSP Merrill Lynch, HSBC Securities and Capital Markets (India), ICICI Securities and Yes Securities India are the book running lead managers to the issue."
yes bank,15-07-2020,"Yes Bank shares jump 3% on raising Rs 4,098 cr from anchor investors","Yes Bank share price gained over 3 percent in morning trade on July 15 after the bank garnered Rs 4,098 crore from anchor investors.

The private sector lender has garnered Rs 4,098 crore from anchor investors on July 14. All 12 anchor investors placed their bids for 3,41,53,84,614 equity shares at the lower end of the price band of Rs 12-13 per share.

Bay Tree India Holdings I, owned by Tilden Park, was the largest anchor investor, investing Rs 2,250 crore in Yes Bank for an allocation of 1,87,50,00,000 shares.

The stock price has been a steady underperformer with the scrip tumbling over 22 percent in the last 3 days. The stock was trading at Rs 21.35, up Rs 0.40, or 1.91 percent at 09:24 hours. It has touched an intraday high of Rs 22.00 and an intraday low of Rs 20.30.

It was also one of the most active stocks on NSE in terms of volumes with 63,88,569 shares being traded.

Yes Bank is aiming to raise Rs 15,000 crore through its FPO, the price band for which have been fixed at Rs 12-13 per share, a 53-49 percent discount to its last week's closing price.

Also Read: Yes Bank FPO opens for subscription on July 15; 10 key things to know

It intends to utilise its net proceeds from FPO towards ensuring adequate capital to support its growth and expansion, including enhancing its solvency and capital adequacy ratio.

HDFC Life Insurance Company, Amansa Holdings and Elara India Opportunities Fund were the other three big anchor investors, which invested Rs 400.46 crore, Rs 373 crore and Rs 372 crore, respectively.

According to Moneycontrol SWOT Analysis powered by Trendlyne, FII / FPI or institutions have been increasing their shareholding in the bank with promoters decreasing pledge.

However, Moneycontrol technical rating is very bearish with moving averages and technical indicators being bearish.

: The views and investment tips expressed by experts on moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.​"
yes bank,14-07-2020,"Yes Bank garners Rs 4,098 crore from anchor investors ahead of FPO, Bay Tree invests Rs 2,250 crore","Private sector lender Yes Bank has garnered Rs 4,098 crore from anchor investors on July 14, a day ahead of its follow-on public offering.

All 12 anchor investors placed their bids for 3,41,53,84,614 equity shares at the lower end of price band of Rs 12-13 per share.

Bay Tree India Holdings I, owned by Tilden Park, was the largest anchor investor, investing Rs 2,250 crore in Yes Bank for an allocation of 1,87,50,00,000 shares.

Yes Bank is aiming to raise Rs 15,000 crore through this issue, the price band for which have been fixed at Rs 12-13 per share, a 53-49 percent discount to its last week's closing price.

It intends to utilise its net proceeds from FPO towards ensuring adequate capital to support its growth and expansion, including enhancing its solvency and capital adequacy ratio.

HDFC Life Insurance Company, Amansa Holdings and Elara India Opportunities Fund were the other three big anchor investors, which invested Rs 400.46 crore, Rs 373 crore and Rs 372 crore, respectively.

Among others, Jupiter India Fund, Jupiter South Asia Investment Company, Bajaj Allianz Life Insurance Company, ICICI Lombard General Insurance Company, Reliance General Insurance Company, RBL Bank, Edelweiss, Hinduja Leyland Finance and ECL Finance acquired more than Rs 700 crore worth of shares in Yes Bank via anchor book.

The issue will close on July 17 and bids can be made for minimum 1,000 shares and in multiples of 1,000 shares thereafter.

Yes Bank has been backed by marquee institutions – SBI, HDFC, ICICI Bank, Axis Bank, Kotak Mahindra Bank, Federal Bank, Bandhan Bank and IDFC First Bank – which have invested Rs 10,000 crore in the bank through a reconstruction scheme in March.

The offer also includes a reservation of up to Rs 200 crore for subscription by its employees.

As of March 31, the bank's CET I ratio stood at 6.3 percent, which was lower than the Reserve Bank's minimum CET I ratio of 7.375 percent.

Kotak Mahindra Capital Company, SBI Capital Markets, Axis Capital, Citigroup Global Markets India, DSP Merrill Lynch, HSBC Securities and Capital Markets (India), ICICI Securities and Yes Securities India are the book running lead managers to the issue."
yes bank,14-07-2020,Yes Bank FPO opens for subscription on July 15; 10 key things to know,"Private sector lender Yes Bank will launch its Rs 15,000-crore follow-on public offering (FPO) on July 15.

After the exit of co-founder Rana Kapoor, the troubled private lender is now backed by marquee institutions – State Bank of India (SBI), HDFC, ICICI Bank, Axis Bank, Kotak Mahindra Bank, Federal Bank, Bandhan Bank and IDFC First Bank, who invested Rs 10,000 crore in the bank through a government-approved reconstruction scheme in March this year.

After fixing of the price band, much lower than the market price, the stock has lost 22 percent and was trading at around Rs 20.7 on July 14.

Kotak Mahindra Capital Company, SBI Capital Markets, Axis Capital, Citigroup Global Markets India, DSP Merrill Lynch, HSBC Securities and Capital Markets (India), ICICI Securities and Yes Securities India are lead managers for the issue.

Here are 10 key things to know about FPO:

Issue size

The bank plans to raise Rs 15,000 crore through the further purchase offer that opens on July 15 and closes July 17.

Shares worth Rs 200 crore have been reserved for subscription for the bank’s employees. An FPO is a process by which a listed company raises fresh capital by issuing new equity shares to the public. Bids can be made for minimum 1,000 shares and in multiples of 1,000 shares thereafter.

ALSO READ: Rossari Biotech IPO, Bharat Bond ETF & Yes Bank FPO: Where should investors put their money?

Price band

The bank, in consultation with its merchant bankers, has fixed a price band of Rs 12–13 per equity share, a discount of 53 percent – and 49 percent to its July 10 closing.

Objectives

Yes Bank intends to use proceeds towards ensuring adequate capital to support its growth and expansion, including enhancing its solvency and capital adequacy ratio.

As of March 31, 2020, the bank's CET (common equity tier) I ratio was at 6.3 percent. The RBI prescribed a minimum CET I ratio of 7.375 percent by March 31, 2020. ""This minimum CET I ratio requirement will increase to 8 percent by September 30, 2020,"" the bank said in its prospectus.

ALSO READ: SEBI may probe Yes Bank share transactions under SLBM after FPO announcement

Anchor book

The issue opened for anchor investors for on July 14. The bank may, in consultation with the book managers, allocate up to 60 percent of the QIB (qualified institutional buyer) portion to anchor investors on a discretionary basis. Hence, the QIB portion will accordingly be reduced for the equity shares allocated to anchor investors.

The issue is being made through book-building process, where allocation to QIBs is up to 50 percent, non-institutions bidders not less than 15 percent and retail individual bidders not less than 35 percent.

Business

The bank has a presence in all the 28 states and in eight union territories of the country. It has a representative office in Abu Dhabi as of March 2020. It is a full-service commercial bank specialising in merchant banking, digital banking, brokerage business, asset management and investment banking.

As of March 2020, the bank had a network of 1,135 branches and 1,423 ATMs.

Its assets decreased from Rs 3,12,449.65 crore as of March 2018 to Rs 2,57,832.16 crore as of March 2020 at a CAGR of (9.16) percent. Its total deposits have declined from Rs 2,00,688.6 crore as of March 2018 to Rs 1,05,311.16 crore as of March 2020 at a CAGR of (27.96) percent.

CASA deposits for the bank decreased from Rs 73,174 crore as of March 2018 to Rs 28,046.1 crore as of March 2020 at a CAGR of (38.09) percent.

Advances have decreased from Rs 2,03,518.82 crore as of March 2018 to Rs 1,71,433 crore as of March 2020 at a CAGR of (8.22) percent.

The bank reported a net loss of Rs 16,432.58 crore for 2019-20, hit by higher provisions that increased more than four-fold to Rs 28,312.49 crore during the year.

""The increase in NPA as a consequence of additional slippages and increase in PCR has resulted in higher provisioning and a loss in our results for fiscal year 2020,"" the bank said.

The lender reported a profit of Rs 1,709.26 crore in the previous year.

Net interest income during the year fell sharply by 30.8 percent to Rs 6,793.96 crore compared to the previous year.

As of March 31, 2020, the bank's gross non-performing assets amounted to Rs 32,877.58 crore, or 16.80 percent, of the gross advances, and net NPAs amounted to Rs 8,623.78 crore, or 5.03 percent of the net advances. The bank had non-performing investments of Rs 9,222.38 crore as of March 2020, with provisions of Rs 6,825.42 crore as of same date.

Shareholding

Public shareholding in the bank stood at 98.58 percent as of March 2020, of which country's largest lender State Bank of India held 48.21 percent stake.

ICICI Bank held 7.97 percent, Axis Bank 4.78 percent, Federal Bank 1.92 percent, IDFC First Bank 1.67 percent, Bandhan Bank 2.39 percent, HDFC 7.97 percent and Kotak Mahindra Bank 3.61 percent.

Under the reconstruction scheme, drawn up by the Reserve Bank of India, SBI is required to hold not more than 49 percent and not less than 26 percent of the total equity shares in Yes Bank. which is subject to a three-year lock-in from March 14, 2020.

Other investors are subject to a three-year lock-in from March 13, 2020 for 75 percent of the investments they made in the bank .

LIC holds 1.64 percent stake in Yes Bank, while current promoters' stake is at 1.42 percent.

Management

Prashant Kumar, the ex-DMD and CFO of State Bank of India, is the Managing Director and Chief Executive Officer of Yes Bank.

Sunil Mehta is the Non-Executive Chairman while Mahesh Krishnamurti and Atul Chunilal Bheda are Non-Executive Directors on the board.

Rama Subramaniam Gandhi and Ananth Narayan Gopalakrishnan are Additional Directors and Partha Pratim Sengupta and Swaminathan Janakiraman are Non-Executive Directors and Nominee Directors from State Bank of India.

Strategic objectives

Yes Bank's new management has set the objective to rebuild the bank and calibrate growth over the next six to twelve months by rebuilding liabilities and liquidity buffers, optimising cost, strengthening the governance and underwriting framework, and focusing on stressed assets resolution.

Its medium-term objectives are:(a) Stabilise liability mix and lower cost of funds with an aim to increase CASA ratio to more than 40 percent(b) Provide granular advances, with retail, small and medium enterprises being more than 60 percent(c) Enhance corporate flows and cross-selling through transaction banking

(d) Increase Return on Assets to above 1 percent within the one to three years and above 1.5 percent within three to five years.

Subsidiaries

As of March 2020, Yes Bank had three subsidiaries--YES Securities, YAMIL and YTL.

YES Securities is engaged in merchant banking, investment banking, institutional sales and trading and equity research. YAMIL offers services of an investment manager and YTL acts as a trustee to YAMIL."
yes bank,14-07-2020,Why investors should shun Yes Bank’s FPO,"Though prima facie Yes Bank's FPO price looks enticing, it hides more than it reveals. We do not see Yes Bank embarking on a sustainable profitable journey anytime soon and we doubt if the structural flaws can be reversed in a hurry

@moneycontrolcom Madhuchanda Dey"
yes bank,13-07-2020,"Rossari Biotech IPO, Bharat Bond ETF & Yes Bank FPO: Where should investors put their money?","The bulls remained in control of Indian markets for the fourth week in a row and as we head into a new week, traders are spoilt for choice.

The week beginning from July 13 presents an opportunity for investors to choose from any of these three options--Rossari Biotech IPO, Yes Bank FPO and Bharat Bond ETF--and secure good returns.

Specialty chemicals manufacturer Rossari Biotech will open its nearly Rs 500-crore IPO for subscription on July 13. The price band of the issue, which closes on July 15, is set at Rs 423-425 per share.

The second tranche of the Bharat Bond exchange-traded fund (ETF) will open for bidding between July 14 and 17, with two more new ETFs maturing in 2025 and 2031.

The Bharat Bond ETF will be managed by Edelweiss AMC and the base size of the issue is Rs 3,000 crore with a green-shoe option of Rs 11,000 crore.

And, lastly, Yes Bank's capital raising committee on July 10 fixed a floor price of Rs 12 per equity share and cap price of Rs 13 per share for its follow-on public offer (FPO). The FPO issue will be open from July 15 to July 17.

All three options do look exciting but they cater to different segments of market participants and can't be bunched in one category. If someone wants to invest for long-term wealth creation, then ‘Bharat Bond ETF, Rosari Biotech, and Yes Bank IPO are preferred choice, filtered on the basis of wealth creation/protection of capital.

“Seeing the current market situation, we would advise investors to invest in Bharat ETF Bond for the long term because the return is predictable and also earlier bonds have delivered annualised return in the range of 14-18 percent. Additionally, it has a high credit rating and a good tool for diversification into debt,” Ajit Mishra, VP - Research, Religare Broking told Moneycontrol.

“Though Roosari Biotech has a strong product portfolio and it is well diversified, the company's valuation seems expensive. We would advise investors to wait until there is much clarity of the demand scenario and things getting stabilize.”

Mishra added that Yes Bank FPO is likely to help existing shareholders to dilute their holding, however, the impact of past issues is still lingering, and hence fresh investment is not advisable.

We spoke to several experts about their choice and here is what they said:

Expert: Siddharth Panjwani, Chief Strategy Officer Pickright Technologies"
yes bank,13-07-2020,Yes Bank shares tumble 10% on reports of SEBI probe post FPO announcement,"Yes Bank shares tumbled 10 percent on July 9 after reports suggested that Securities and Exchange Board of India (Sebi) may look into a large amount of share transaction of the bank under the Securities Lending and Borrowing Mechanism (SLBM).

On July 9, investors borrowed 95,99,987 shares worth Rs 5.9 crore for an interest rate of around Rs 7 per share. Investors borrowed these shares for a one-month period, with settlement due on August 6.

These transactions took place a day prior to the announcement of the bank’s floor price for its Follow-on Public Offer (FPO). The Enforcement Directorate (ED) is expected to file the second prosecution complaint in the Yes Bank money laundering case on July 13. Close

The stock price has tumbled over 49 percent in the last 6 months and was trading at Rs 22.50, down Rs 3.00, or 11.76 percent at 09:23 hours. It has touched an intraday high of Rs 23.50 and an intraday low of Rs 21.20.

ED may file the complaint against 13 individuals and entities including Dewan Housing Finance Limited (DHFL) promoters Kapil and Dheeraj Wadhawan. Yes Bank had sanctioned a loan of Rs 750 crore to Belief Realtor Pvt. Ltd, a company controlled by the DHFL group. The loan was sanctioned on June 18, 2018, by the Management Credit Committee (MCC) headed by Rana Kapoor, who was then the MD and CEO of Yes Bank.

Capital Raising Committee (CRC) of the Board of Directors of the Yes Bank at its meeting on July 10 has approved the floor price at Rs 12 per equity share and cap price at Rs 13 per equity share. A meeting of the CRC will be be held on July 14 for the allocation of equity shares to successful anchor investors pursuant to the offer and for determination of the anchor investor allocation price.

According to Moneycontrol SWOT Analysis powered by Trendlyne, Yes Bank has high debt with the company having high interest payments compared to earnings. MFs have also decreased their shareholding last quarter with the stock showing weak momentum - Price below short, medium and long term averages.

Moneycontrol technical rating is very bearish with moving averages and technical indicators being bearish.

: The views and investment tips expressed by experts on moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.​"
yes bank,10-07-2020,SEBI may probe Yes Bank share transactions under SLBM after FPO announcement,"The Securities and Exchange Board of India (SEBI) may look into a large amount of share transaction of Yes Bank under the Securities Lending and Borrowing Mechanism (SLBM) on July 9, sources said. These transactions took place a day prior to the announcement of the bank’s floor price for its Follow-on Public Offer (FPO).

Yes Bank fixed the floor and cap price at Rs 12 and Rs 13, respectively, on Friday.

On Thursday, investors borrowed 95,99,987 shares worth Rs 5.9 crore for an interest rate of around Rs 7 per share. Investors borrowed these shares for a one-month period, with settlement due on August 6.

According to the National Stock Exchange’s (NSE) SLBM data, a large amount of borrowings started from June 30 onwards. There was a further surge last week after the announcement of the FPO.

If the high premiums under SLBM are taken into consideration, it amounts to paying a 26 percent interest to shareholders.

""This must definitely be investigated. It should not be too difficult to find out who is borrowing the stock at such premiums in the SLBM segment. If the dividend yield plus the SLBM return of any stock exceeds the risk-free rate of return, something is not right. That's usually a bearish indicator,” Chirag M Shah, market veteran and practising counsel, told Moneycontrol.

SLBM is the mechanism for short-selling shares in the cash market. Investors sell shares by borrowing from SLBM in the anticipation that they prices will fall later. Once that happens, they buy at a lower price and settle their trade. If prices rise, they stand to lose.

However, while borrowing shares, investors have to pay an interest

On June 30, 46,394,401 shares were traded; on July 1, 54,26,233 shares; on July 8, 60,33,711; and, on July 9, 95,99,587.

In the last 20 days, lending rates have increased by 3200 percent from Rs 0.25 to Rs 8. On June 22, the closing rate on SLBM was Rs 0.25.

“Prices going up or down is par for the course, but if something is happening in anticipation of a corporate action like an FPO, and the kind of abnormal SLBM returns this stock is offering, it must be investigated without delay,” Shah said.

During the Ketan Parekh scam in 2001, traders had used the ALBM (Automated Lending and Borrowing Mechanism) route for market manipulation. After several restrictions, SLBM came into place."
